Name;Vote Account;Identity;REV;Inflation;MEV;Tx;User Tx;Vote Tx;Pri Fees;Sig Fees;Rewards;Stake;Votes;Latency;CU;Leader Slots;actual_stake_sol;stake_rank;mev_rank;rev_rank;inflation_pct;sig_fees_pct;priority_fees_pct;mev_pct;rev_pct;is_top10_stake;is_top20_stake;is_top50_stake;is_top10_mev;is_top20_mev;is_top50_mev;is_top10_rev;is_top20_rev;is_top50_rev
Hubra;7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh;RAuSNo4DRjo83uGhdgg4fPqYBVszi1KsrQGpqcPHK1D;0.3030858047619048;0.28032190476190477;0.007309;1100.0;347.0;752.0;0.0125863;0.0028774;0.0154549;922.0;4572.0;1.148;21719795.0;84.0;77448;552;172;635;20.89;1.84;5.79;77.5;16.69;0;0;0;0;0;0;0;0;0
Pesky Penguins 🔥💃 NOOT NOOT;vvvvXsU6iG2enDVvs4KeVqS4YrZczTujSv5p3dSeNHx;ppppoqHcHVzigV6SK4856BAsNxhTAi32hqQQWrziyHE;0.301934794117647;0.28159279411764704;0.0011061;1173.0;448.0;725.0;0.0161541;0.0030915;0.0192359;885.0;6243.0;1.029;29140113.0;68.0;60180;625;706;636;21.55;3.42;19.47;7.24;16.56;0;0;0;0;0;0;0;0;0
Zodia Custody;ZoDVQ5zCgFyVm2Y6vHhZ6boQEZNV6sMVnefev4M2Bes;ZoD1XLMhxdMveAJL4x9oab4FhRKP5NThTnSCH19Tdjp;0.3017458;0.2590075;0.0175816;1271.0;501.0;770.0;0.0218184;0.0033502;0.0251567;815.0;8921.0;1.016;31251552.0;48.0;39120;694;32;637;11.96;23.55;57.76;95.92;16.43;0;0;0;0;0;1;0;0;0
StakeNode777;5szskKdH8nfnUuHTvn9hnhH3Xuvo7RVmcDDvD5WD7yNh;Ee8dX3qtwrDRnxYK6NGQfmMeKT3Qpp2QZHpxiAiw23W9;0.3016773107142857;0.2656049107142857;0.0048803;1277.0;541.0;736.0;0.0278285;0.0033758;0.0311921;834.0;1773.0;1.131;34374738.0;224.0;186816;328;318;638;14.19;32.24;83.29;58.29;16.29;0;0;0;0;0;0;0;0;0
NodT;3pBPy27F1Wz3iVydZnGkdvefStrFm8UMCDakYZii8AUZ;7U68WfpxJF5W1HjVQ2NCQr5EuKhNSvSRAnmWTk6225Jf;0.30163576666666664;0.28366366666666665;0.0014746;1228.0;480.0;747.0;0.0133023;0.0032065;0.0164975;890.0;7096.0;1.023;31451398.0;60.0;53400;650;686;639;22.73;6.58;7.5;9.87;16.16;0;0;0;0;0;0;0;0;0
;6tgtejPHUHR1pECzXqQT8EHZqnKCWZFSqdZXDyBaKe3b;2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns;0.30155083292682927;0.27273643292682925;0.0052745;1282.0;511.0;771.0;0.0201845;0.0033678;0.0235399;855.0;1308.0;1.009;33835591.0;328.0;280440;212;287;640;17.21;28.68;46.32;62.37;16.03;0;0;0;0;0;0;0;0;0
South;2DNGsVZ9rg6RvT8bY4SGmGvyiVJ4xt9RL3NDd6uhfN46;8Nvaxzif1NrdvxNkRetjT8xJvd33EHkKVrfL8EDkgaNy;0.3011897571428572;0.27749135714285716;0.0057849;1286.0;563.0;722.0;0.0145214;0.0034031;0.0179135;871.0;2851.0;1.137;34563745.0;140.0;121940;442;256;641;19.19;39.47;11.05;66.45;15.9;0;0;0;0;0;0;0;0;0
1000X.sh;1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm;1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3;0.3006862275362319;0.2719374275362319;0.0038743;1290.0;524.0;766.0;0.0214954;0.0033916;0.0248745;861.0;1560.0;1.012;33288871.0;276.0;237636;252;417;642;16.95;36.05;55.92;45.26;15.77;0;0;0;0;0;0;0;0;0
Kisetsu Stake;fuyugZxM5S4NyV3ZYoc6ebs3fmRTrZ3X27MKCFvHpVD;NATsUSZGohWw8xtLdxG4yus21UCkaes4FLfM2eqKbRk;0.30037801290322586;0.27119661290322583;0.0090731;1359.0;631.0;728.0;0.0165461;0.0035752;0.0201083;856.0;3350.0;1.064;39349150.0;124.0;106144;469;124;643;16.69;89.47;21.97;83.82;15.64;0;0;0;0;0;0;0;0;0
Aepalizage;kaosFcskhYZCQidKKmkUSQLAqwpz3vtPpyyZ67N5NwA;KAoSp3EudGqUBXv46tQoDwbZxSm3iXa9wM2aF4ySbJJ;0.30017855000000004;0.28309125;0.0044125;1229.0;473.0;755.0;0.0094315;0.0032552;0.0126748;888.0;17428.0;1.05;33721708.0;24.0;21312;731;375;644;22.34;10.53;1.32;50.79;15.51;0;0;0;0;0;0;0;0;0
nordstar ⭐ reliable staking +MEV;NoRDTy8jpkpjPR7yxahVdoEUPngbojPhFU5jb8TtY4m;NordEHiwa6wT5TCjdeWJzpsA7DSmWQPqfSS7m2b6cv3;0.30008698474576273;0.2694350847457627;0.0071018;1260.0;498.0;761.0;0.0202639;0.0032974;0.0235501;861.0;1816.0;1.013;32748578.0;236.0;203196;296;180;645;15.64;14.74;47.24;76.45;15.37;0;0;0;0;0;0;0;0;0
⭐StepByStep⭐ 0%Fee+Jito MEV;2wUhcnViyzstvWmk7NAboKtjbFbqJPo4BvFBV37dacLc;HnwMGBAw5PxaX56eSYc969MorEy2NzEMPLkmBkdnJmeq;0.2995003638888889;0.2691757638888889;0.0;1355.0;589.0;765.0;0.0267671;0.0035707;0.0303246;844.0;2975.0;1.012;37632060.0;144.0;121536;443;755;646;15.37;89.08;80.13;0.0;15.24;0;0;0;0;0;0;0;0;0
;DkZehyHr92C4wHYfoXJU6FpKFVeh64LRgkJmFKYub4UV;REA1zKzM5WjDEcpB27Zx2Rk16foNPtLGTETy93LLgNw;0.2993758157894737;0.2756163157894737;0.0054666;1202.0;430.0;771.0;0.015162;0.0031408;0.0182929;865.0;5642.0;1.012;29670551.0;76.0;65740;593;273;647;18.79;4.21;14.21;64.21;15.11;0;0;0;0;0;0;0;0;0
S4Mar;9wQQnnnkk5b5GkQWTW9L4kEA3CjFv6CqsQd5gt6tRsHK;2mDrrmhSzpSyaF12izGk8hnFjtKCGeCFPwQHpRiJDby2;0.2986901220588235;0.2706445220588235;0.0048702;1299.0;536.0;762.0;0.0197643;0.0034238;0.0231754;849.0;1576.0;1.012;35099917.0;272.0;230928;255;320;648;16.29;47.11;43.03;58.03;14.98;0;0;0;0;0;0;0;0;0
