epoch;total_txns;total_vote_txns;total_non_vote_txns;total_success_txns;total_failed_txns;total_cu;total_all_fees_sol;total_base_fees_sol;total_priority_fees_sol;total_jito_tips_sol;total_slots;total_skipped_slots;total_packed_slots;total_jito_transactions;total_priority_txns;validator_count
853;1220337;872840;347497;1136022;83852;29063187098;19125.060545;6057.61091;14483.383105;8386.090163;864428;1182;863246;66496490;237614533;922
854;1204495;876530;327965;1125690;78345;27097580513;18674.303007;5978.39804;14036.574787;7767.846301;866044;476;865568;58416842;223190684;924
855;1154787;879821;274966;1097755;56602;23256638095;14747.570375;5710.258005;10159.921255;5548.116892;864818;352;864466;50656857;182269866;921
856;1182040;882844;299196;1119892;61688;25771078129;17409.003538;5815.075905;12777.756683;7037.681915;864006;828;863178;58313706;193083330;929
857;1189709;882082;307627;1118565;70720;27068750934;21265.171641;5864.49876;16658.249821;8894.757968;864006;958;863048;54684618;208350851;923
858;1207816;890154;317662;1136969;70387;27522920541;21085.030299;5907.821605;16439.162629;9507.574064;864872;596;864276;57861221;212205321;925
859;1162174;881140;281034;1114591;47129;24540232699;15979.414893;5702.53584;11378.797913;6205.783917;864002;606;863396;55129764;181915140;922
860;1180157;871670;308487;1117765;61929;26273096215;18237.688031;5824.3703;13615.845691;8120.622538;866452;1066;865386;57254672;201762382;921
861;1159292;850117;309175;1103034;55813;26101419491;14083.237729;5879.33461;9434.587999;5583.388645;865394;864;864530;61256652;201881810;900
862;1244266;854344;389922;1128713;115119;31389924320;22748.74207;6247.72071;18073.52311;27932.988708;866170;1540;864630;72437323;272065812;907
863;1186461;858932;327529;1104968;81080;25154108634;14620.894297;5984.39976;10053.380867;6789.721555;865052;706;864346;56307152;240579110;910
864;1191800;859458;332342;1118537;72851;27624164451;16793.087839;5978.08207;12176.725024;7068.432415;866260;2398;863862;62106247;230227030;911
865;1212986;860460;352526;1128387;84153;27709513147;16728.688708;6110.73348;12059.423573;6412.01816;866802;640;866162;67924489;245710083;911
866;1135777;849714;286063;1086385;48946;23606809505;14947.625672;5726.617835;10411.765327;5110.289276;864014;452;863562;53236861;196554928;904
867;1173124;841090;332034;1106605;66083;26762487212;18728.89978;5944.379945;14153.49605;7369.035565;864876;928;863948;63264057;230001261;905
868;1121040;825099;295941;1060312;60285;24207900071;16560.668406;5720.55568;12065.256476;6120.133153;864012;1380;862632;54922807;204779474;899
869;1077007;812020;264987;1030778;45811;22077148300;14898.464438;5516.56889;10467.095798;4255.97904;864002;1734;862268;53510250;178996256;896
870;1084697;797053;287644;1031872;52402;23371568841;16166.027284;5547.500455;11789.517549;3992.497921;864014;4576;859438;54901057;196293461;898
871;1106693;780512;326181;1039247;67021;26172613622;20694.417633;5760.30289;16275.273553;6954.180772;864666;1506;863160;62517330;228746260;879
872;1105446;777163;328283;1036086;68936;26085531846;20239.266117;5770.94419;15774.367937;8128.689739;865036;2386;862650;70146186;223023532;881
873;1045296;765530;279766;997298;47588;22722959372;16648.622169;5510.05297;12280.304679;5439.528219;864002;2312;861690;57915498;190663140;880
874;1102478;736579;365899;1007876;94185;27190672218;21583.165229;5840.50461;17215.526924;9834.605049;864008;3400;860608;72784261;258835008;865
875;1032723;729636;303087;959573;72735;22926050712;20764.277749;5518.07453;16496.331304;6327.147816;864006;914;863092;59229906;220288961;855
876;980848;704616;276232;921785;58649;21295442570;18073.03138;5360.83836;13859.80697;5083.986041;864002;1254;862748;54208444;196481378;839
877;980552;701365;279187;925094;55059;21228150617;18915.90117;5399.2276;14714.59296;6338.513177;864002;1220;862782;57090928;204739080;834
878;1011630;696843;314787;925498;85766;22448538110;21410.901838;5634.560645;17204.695323;8215.16381;865758;2130;863628;58470000;236154041;832
879;997715;695774;301941;937491;59836;21204533056;17775.05043;5547.0093;13532.0534;6174.059305;864012;1192;862820;65745102;221749566;829
880;943472;693732;249740;900149;42920;19232465274;15229.425046;5253.2185;11097.375226;4376.550626;864002;1064;862938;52025206;186167268;828
881;984379;697037;287342;925786;58207;21225955173;17074.977216;5442.812015;12871.548491;5624.416399;864014;890;863124;54884947;211260266;827
882;1005520;695258;310262;940247;64876;23677806557;17351.137629;5577.16116;13136.385479;5557.919979;864002;754;863248;58442308;232248338;828
883;995048;690207;304841;929443;65207;23288575160;16147.051555;5543.78003;11989.43455;4993.456594;864006;1018;862988;53924746;235648742;827
884;972046;691604;280442;922741;48917;21795171889;14328.148049;5381.71723;10231.668939;4153.246312;864002;858;863144;52609020;212499988;834
885;975194;687837;287357;921381;53396;22241485100;17255.73694;5409.64026;13163.48564;5005.171011;864002;1004;862998;50939758;220471710;826
886;944668;682388;262280;897866;46409;21393211192;16512.575395;5306.879365;12422.503905;4584.616871;870021;574;869447;47355547;202279002;822
887;925364;683733;241631;890316;34652;20380310669;16190.815824;5173.87119;12142.944099;4925.303863;870419;1036;869383;43973273;185272987;827
888;943717;654385;289332;884048;59254;24346060435;18519.529568;5355.04204;14538.887483;5425.256389;864006;2796;861210;46026953;233907321;823
889;925565;647627;277938;878488;46695;22172095447;21967.156658;5331.900975;17973.605243;6970.398289;864006;2278;861728;45767686;223594623;819
890;889598;628140;261458;849007;40227;21005218354;17129.392519;5199.87378;13182.805989;4440.632417;864002;1536;862466;43215412;207827770;799
891;905158;629972;275186;848949;55846;22875606244;18226.818587;5261.0077;14328.513137;4440.43565;864002;1150;862852;41640734;227980850;794
892;911126;630691;280435;860099;50622;23838363642;19928.672398;5297.65934;16030.336188;5059.707656;864002;922;863080;41212872;232765650;797
