epoch;jito_total_mev_lamports;jito_total_mev_sol;jito_stake_weight_lamports;jito_mev_reward_per_lamport
483;156395451517;156.395452;108358203003378503;1.443318984462337e-06
484;50364074544;50.364075;108678620746548842;4.634220990111281e-07
485;46284865514;46.284866;108874848786641677;4.251199062944544e-07
486;101775989395;101.775989;109112491127830942;9.327620361610491e-07
487;81950576467;81.950576;108975192622540214;7.520113017909868e-07
488;37103950956;37.103951;109326179765484036;3.3938761086861184e-07
489;74639300812;74.639301;109377113816736804;6.824032762197347e-07
490;145301018279;145.301018;111027719238838946;1.3086913725250316e-06
491;56608726573;56.608727;111590027857465585;5.072919835212029e-07
492;35367511093;35.367511;111840052335404338;3.1623296265039374e-07
493;143688927866;143.688928;122425578775241590;1.173683876388245e-06
494;60039724808;60.039725;123275633957722329;4.87036431129535e-07
495;157212249946;157.21225;123471361570276186;1.2732689422601007e-06
496;81963718231;81.963718;123641420775977145;6.629147232100159e-07
497;138808092562;138.808093;123385918775075739;1.1249913599544356e-06
498;23743086752;23.743087;123394158569688189;1.924166186407506e-07
499;33886904256;33.886904;123258888368168651;2.749246298147795e-07
500;55968994891;55.968995;123691975969697722;4.524868687093444e-07
501;69732669881;69.73267;116462667190814282;5.987555631604151e-07
502;80131268803;80.131269;124192318358157075;6.452192040727526e-07
503;58800704335;58.800704;118132629508712343;4.977515914065336e-07
504;49391479937;49.39148;118201029333887391;4.178599815529679e-07
505;95456595385;95.456595;122682600028443958;7.780777010176537e-07
506;121077495268;121.077495;123165580551102304;9.830465193785537e-07
507;42543774836;42.543775;130300273968077813;3.2650564377495304e-07
508;38119277891;38.119278;124528187017262629;3.0610963512795495e-07
509;30900039182;30.900039;124905658826295615;2.4738702371341085e-07
510;107278063050;107.278063;128921241861437762;8.321209251559998e-07
511;78368811890;78.368812;127492757498010696;6.146922650976688e-07
512;55332969352;55.332969;127671907333076069;4.3339972361848504e-07
513;121345790257;121.34579;128021660759492855;9.478535861596544e-07
514;62799211292;62.799211;127790211165514549;4.914242704448006e-07
