account,name,activeStake,softwareClient
7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,"Alchemy",2221849805428583,AgaveBam
HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,"",2182665921629860,JitoLabs
Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,"OKX Earn",2136928317565017,AgaveBam
5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,"Sanctum",2133269094145244,JitoLabs
AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,"",2083334280438320,JitoLabs
FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,"",2035280267443239,Firedancer
AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,"",2013800997122051,AgaveBam
2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,"",2005488249610397,AgaveBam
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,"",1937437661920325,AgaveBam
FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS,"",1881605316350045,AgaveBam
7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,"",1875000953466200,Agave
DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,"Firedancer Development",1861247725548067,Firedancer
3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,"",1837000183558720,AgaveBam
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,"",1835664800728540,AgaveBam
ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,"Anagram Staking",1718419218827000,Rakurai
7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,"Haus – Best APY & No Fees",1629921880410977,AgaveBam
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA,"Overclock",1569817648704641,AgaveBam
EXckihF3qmguH5znjhfzLvHsbk2E3nEW2DqNh4MMnDMm,"",1534395193587856,Harmonic
6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,"Coinbase 05",1506006815930837,AgaveBam
GYx8kpp7SsRwtQEEsGQjAxb4hFMMmT91kFJuDeky3YGQ,"",1470145740760999,AgaveBam
FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,"",1468142636020282,AgaveBam
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,"melea 🚀 SOL 🤑2K",1457129733053545,AgaveBam
pSoLoZx55zZz61gjxSTwHtwTg4yTwdm7ruBmyjbYgT2,"",1435165101413797,Harmonic
CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,"Bybit Staking",1413332055475227,JitoLabs
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,"Solana Compass 🧭 Solana For The People",1411030176853025,AgaveBam
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,"Solflare",1389337340093137,AgaveBam
Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,"Shinobi Systems 🚀 stakeview.app",1386918184091326,JitoLabs
DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8,"Temporal Emerald",1346916882931920,HarmonicAgave
A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC,"",1338974371069161,Rakurai
CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW,"Blockman",1331710787735150,JitoLabs
AMukCLCr52XxsEjXoDxKKxjNg4FpnsReXNaQx8aR6DJF,"",1328716200094881,Harmonic
privaEdSEmnMPGPoQACUkcDGkFBbTArVvsEGd7C5wUM,"",1324631001000000,Harmonic
G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,"",1324631001000000,AgaveBam
ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,"Chorus One",1301313344240772,JitoLabs
HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9,"PoH PoS",1285686437211825,AgaveBam
EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,"StakeBowl",1250007973669359,JitoLabs
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,"Pumpkin's Pool ❤️",1249509746057059,AgaveBam
5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,"",1207979324911175,Agave
3psxMyr7rQzywVp1MXKd1XFmFz33NjydzCoJx9t2sMQW,"OtterSec",1064890211349056,HarmonicAgave
4SsMncJdtKiUcDtukkX15mqei7WiuQ9yvRtQrQW4reWC,"Quicknode",1054531200270287,AgaveBam
G2TBEh2ahNGS9tGnuBNyDduNjyfUtGhMcssgRb8b6KfH,"AG 0% fee + ALL MEV profit share",1049045463813183,JitoLabs
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,"",1032738869702912,Harmonic
G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM,"AP Node",1029212518264493,AgaveBam
8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,"",1009986608516742,Rakurai
GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5,"Rocket",1002773158426726,JitoLabs
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,"Alpha",1000262016846511,JitoLabs
6ptuwW4rg5A3wP9hNKxeymG3QhSagugPd3grnMTGJwWG,"",1000001995434242,Firedancer
58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,"Flash",991769177824360,JitoLabs
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,"Hamsa",978019526249640,JitoLabs
AiDoLWFKzNxSXKeZ4zym2TEPkg6F4kQ3YBA8WhANVPEq,"AiDoL",918614432598272,AgaveBam
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,"Quatro",913490190902343,JitoLabs
VQwCCSfW3o5NDx7n5FBr9SoYiLXVgetstHvaWBvv2YH,"",900164116153700,Frankendancer Rev
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,"Solmate - RockawayX powered",893505291617425,Frankendancer
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,"Allnodes ⚡️ 0% fee",892063825994777,JitoLabs
Ha1iade1AH3B12K9SccfWoPdFtQKKQsj2ZyWwxcjqJJU,"Ha1iad3",884196746857692,Rakurai
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,"Cavey Cool",871247958524968,Harmonic
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,"",839914133073037,JitoLabs
BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,"",826975785438790,AgaveBam
AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,"",808902261083540,AgaveBam
XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,"Coinbase",791533844392960,HarmonicAgave
4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL,"",779519204372198,Harmonic
H8fHToVcZPi5bupGZohGPX2SWs8NHzgFKQ31wi5n6oux,"",770534284563908,JitoLabs
7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,"Alpha Pro | High APY🚀 100% Reliable ⭐ VIP Services",761422434426886,Frankendancer Rev
6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8,"Solana Validator",735952044167416,JitoLabs
BGAjnivVWqLqByqCVT9dSyPUFicvyJrz7vRvrvui3SEk,"",731061448740112,AgaveBam
DZv25oNCWFvGXu9tH63BiAXvG94syweGZhbvdN3HxDxT,"DoubleZero x Temporal",716003450202990,Harmonic
HM1KjNaXa4w8K4gCXbieoMh5gUTNeUhg9fvdXMKeBW3L,"Hello Moon",709265300166288,JitoLabs
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,"Trust Nodes",707197525571482,AgaveBam
6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,"Solana Mobile Validator",706689553167559,AgaveBam
DB7DNWMVQASMFxcjkwdr4w4eg3NmfjWTk2rqFMMbrPLA,"Orangefin by SOL Strategies",702984784357999,AgaveBam
6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,"Watchtower",678826861400038,Frankendancer
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,"",662544438937657,HarmonicAgave
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,"ProStaking",633485334930279,AgaveBam
RBFiUqjYuy4mupzZaU96ctXJBy23sRBRsL3KivDAsFM,"RockawayX Infra",632997601038863,AgaveBam
RNXnAJV1DeBt6Lytjz4wYzvS3d6bhsfidS5Np4ovwZz,"RockawayX Firedancer",632398843634729,Frankendancer
FhFB8MAj5Kzxo2aUKnnAXGWxQRhfe1Nfrf5gTReQ1evD,"",625001997717122,Firedancer
HzrEstnLfzsijhaD6z5frkSE2vWZEH5EUfn3bU9swo1f,"StakeWolf",622992486378388,AgaveBam
ACvL73V4GNnxPVfZ7K89jCrYurLyzpEuE9qirjvh2Xmi,"Kiln2",620215549591929,JitoLabs
oPaLtitM6cwpFVzP2rDhLsJLdY2vcbuZiJJyD1TFUKs,"Temporal Opal",617609673531788,HarmonicAgave
HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN,"Bella2.0",616135816146121,JitoLabs
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,"validator.com",615128244303752,AgaveBam
Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch,"Leapfrog Systems 💎 No Fees",612976460474279,AgaveBam
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,"Solana Beach Validator",598194588009471,Frankendancer
GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,"GREED Academy - funding education",587186869231425,AgaveBam
23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,"Stakin by The Tie",586271941909725,Frankendancer
Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA,"Cogent ⚙️  by SOL Strategies",582939651560789,Frankendancer
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,"",580166323237733,JitoLabs
fishfishrD9BwrQQiAcG6YeYZVUYVJf3tb9QGQPMJqF,"stakefish 🐟",577765311222428,AgaveBam
MutT1jxCXbRWJXpXoJK259gLrNfzDezdxS3BSkQAmv1,"",561873088272780,AgaveBam
aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,"Axiom",561141063363963,HarmonicAgave
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,"P2P.org Turbo",555043007704672,Rakurai
3ZfGPNhdvo1phyqKEFy3F2DnUjuxbgYqhg7GVCdPKsyo,"",550246425255685,Firedancer
LA1NEzryoih6CQW3gwQqJQffK2mKgnXcjSQZSRpM3wc,"Laine ❤️  by SOL Strategies",546321289613284,AgaveBam
