Name,Vote Account,Identity,REV,Inflation,MEV,Tx,User Tx,Vote Tx,Pri Fees,Sig Fees,Rewards,Stake,Votes,Latency,CU,Leader Slots
Temporal Opal,oPaLTmyvoUhW26QCMwLA5JNUeBYy72PDpFoXQF8SeX4,oPaLtitM6cwpFVzP2rDhLsJLdY2vcbuZiJJyD1TFUKs,0.3806051408450704,0.3463151408450704,0.0037996,1358,581,777,0.0269331,0.0035702,0.0304904,1087,755,1.01,35444235,568
GXFC Validator,GdSJPrzj8q1QJV53s1cHMcpbPhodgB9kjG7X9kq8Z56r,Fb77sbwgXmtjmkjkaoSckGp5yg3nqdtD8zf1dyxxiCSf,0.38036000000000003,0.35564,0.0039436,1300,532,767,0.0173457,0.0034435,0.0207764,1116,2901,1.009,34840401,148
Paragon,VotESBSkLKU8vebS6wTR2rzWWJsLc6YThYS6tebPxXq,PRGNnb8DxVcP2WjSHfVRGgc8SkA5u6dbMwoTVV1BGKN,0.38010624032258067,0.3583175403225807,0.0011778,1145,459,686,0.0176047,0.003016,0.0206109,1126,1677,1.102,29042887,248
diman,voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,0.3797934473684211,0.34545994736842106,0,1358,583,775,0.0307578,0.0035883,0.0343335,1084,1127,1.013,36003895,380
,HjiwKP8UAYigpUJyKeBEWfKWvaRgKw9fZQRcSLzdhP2w,65pHd5P2VrehonT1cdJ2JUnq5wi3WUgfL3A8RhYH7Kg7,0.37977561538461535,0.32338961538461536,0.0234693,1360,588,772,0.0293776,0.003551,0.0329167,1014,8249,1.011,32495455,52
Titan Analytics,EBVj3uwSKZpqEb1K267JaPxDQhULVqCy6hYeQqjsPh81,43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,0.37957499166666664,0.34350729166666666,0.0114822,1294,564,729,0.021159,0.0034382,0.0245855,1081,2073,1.126,35544114,192
ProStaking,juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx,juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,0.3792705,0.3335754,0.006507,1261,495,766,0.0358786,0.0033206,0.0391881,1055,711,1.02,32075851,600
Dante 🐾,AYSvheimgwhpRHXossLqrTBDPwo4jHDQJ1UhMeAArTwH,DZKTNGR3r4Akj3G42ReZatKhkmgEXoZjk5Ed2tFwRyqm,0.37904841470588235,0.34736051470588236,0.0098719,1262,496,766,0.0185287,0.0032994,0.021816,1089,3150,1.015,33092478,136
Temporal Topaz,7emL18Bnve7wbYE9Az7vYJjikxN6YPU81igf6rVU5FN8,FugJZepeGfh1Ruunhep19JC4F3Hr2FL3oKUMezoK8ajp,0.3789889534482759,0.3498043534482759,0.0039866,1258,472,786,0.0218945,0.0033144,0.025198,1111,1839,1.064,27494274,232
Stronghold,Ac1beBKixfNdrTAac7GRaTsJTxLyvgGvJjvy4qQfvyfc,91oPXTs2oq8VvJpQ5TnvXakFGnnJSpEB6HFWDtSctwMt,0.37895498947368417,0.3498232894736842,0.0047551,1293,519,773,0.0209889,0.0033992,0.0243766,1105,2823,1.01,34539169,152
NTT DOCOMO GLOBAL,FzUNgBRnVxawDytN9GM7BFwxFfekuMs7BcAGybn4AmMk,AmjX7CerZbHrU814UeBp2gJC7gANNG3KrP4c3RyD7TSD,0.3782312434782609,0.3530555434782609,0.00636,1276,505,771,0.0154706,0.0033567,0.0188157,1108,4658,1.013,32917096,92
Ledger by Chorus One,CpfvLiiPALdzZTP3fUrALg2TXwEDSAknRh1sn5JCt9Sr,LeDbQ99QT342j9S5YdyXLrsq2Gu3T3dMGajExdAuE3V,0.37805932592592595,0.32786342592592593,0.0202742,1347,575,771,0.0263836,0.0035517,0.0299217,1033,1324,1.011,35208507,324
🧑‍🍳USDG rewards (6.76% APY),MARvNLH6rCLroQEGr8fWNxygJ7fHJRCfykRk9DqzwVn,MARiKM3t7pDCyXtvLq24ErWDAvYu84yXqCthkR1GS33,0.37753220000000004,0.35056400000000004,0.0018455,1308,540,767,0.0216867,0.0034492,0.0251227,1100,1785,1.014,35362905,240
Neumann,FrtCZRajYfrdoZarPxCsUB6f66ga5DPSXGz4F7VKyfKP,HT41udB8mLZZf7tev9tUoHYJ41TP8GWZ6zFMbjiviXk5,0.3770249923076923,0.3400511923076923,0.0024437,1356,580,776,0.030961,0.0035823,0.0345301,1067,1649,1.01,36216719,260
,8xG2YekjpQYLZLr8iWa6ZtFo79jYEhgySk5Khxq2MYbN,4vcmYPfLztUckU3c3FvXDwSq8aDNDqwEpvEiqAv97LGJ,0.3769415,0.3411325,0.002447,1341,571,769,0.0298612,0.003514,0.033362,1070,2612,1.014,35419016,164
,FuvD3qqrVjuh355sBs1u8bUS3aU8NgknymLskPvtAc6N,FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,0.37643926326530613,0.3408856632653061,0.0054962,1315,541,774,0.0266097,0.00346,0.0300574,1070,312,1.016,34873185,1372
,E5SvX7hHVMtkEeN8tjxqzePas1HXiepW6gkqzvLPdjhp,44VSCibTpr8Fn1Hk8fazhkuSrrSTYZX2f76b2xqKPwmt,0.3763303027777778,0.3321884027777778,0.0184546,1345,575,769,0.0221399,0.0035601,0.0256873,1045,1485,1.012,35520685,288
RockawayX Infra,RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y,RBFiUqjYuy4mupzZaU96ctXJBy23sRBRsL3KivDAsFM,0.37608991180555557,0.34413071180555554,0.0052153,1314,551,762,0.023305,0.0034519,0.0267439,1098,736,1.039,36287440,576
Waterloo Blockchain,gGQb6ZcDG7fsVLWTvXZ1LLoY348tc1zcP2wkh8kshrk,uxqVAFQfox97HazsPtkKiwhypQH6jEGXkQBHDtXshrk,0.3758389642857143,0.3556144642857143,0.001769,1288,522,765,0.0150807,0.0033854,0.0184555,1115,3853,1.511,32501218,56
Coinbase 05,ERut3CwqVeoa616QBaoHc5jL52RpkXjZZZ7MeaMaCtLi,6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,0.37544702341040465,0.34173142341040463,0.0073695,1316,550,766,0.0228962,0.0034621,0.0263461,1088,310,1.01,35670674,1384
Ha1iad3,Ha1VoTEPWFQp1wZjbQhBNXJftuHvimu1ruzF3xKYRPDQ,Ha1iade1AH3B12K9SccfWoPdFtQKKQsj2ZyWwxcjqJJU,0.3751202981481482,0.3253693981481482,0.0199759,1375,614,761,0.0261467,0.0036411,0.029775,1023,474,1.085,37651107,864
☄️ The Mandalorian ☄️,42XzJdJvr1qE7zdEnPQhV5PsN9eyAcR45SWpTrifW1JB,7G4RfctwLLgqG4ZWfCirU8dfJd87mKQWgB4EHQRv8i7v,0.3746377823529412,0.3506483823529412,0.0041164,1293,531,761,0.0164798,0.0034043,0.019873,1100,3153,1.013,35047167,136
Watchtower,9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw,6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,0.3741415188311688,0.34831491883116883,0.0029057,1310,542,768,0.0194914,0.0034416,0.0229209,1101,701,1.012,35186490,616
FREEZZ,77i1Ryv5bLp45yNeJCwCU28f37fGYspvRtGbNyxsD6Qe,G4GT8z4AKWNoy3x6nuzxW83UfFXLXzrwn7DZQt4GvWdU,0.373717985106383,0.350318085106383,0.0054115,1272,546,726,0.0146522,0.0033475,0.0179884,1103,2128,1.119,35523978,188
