account,name,activeStake,softwareClient
7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,"Alchemy",2273107404004666,AgaveBam
HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,"",2182665921629860,JitoLabs
5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,"Sanctum",2114103327985710,JitoLabs
AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,"",2083334280438320,JitoLabs
FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,"",2032088800432485,Firedancer
AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,"",2013800997122051,AgaveBam
2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,"",2005488249610397,AgaveBam
Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,"OKX Earn",1996449727881464,AgaveBam
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,"",1937437661920325,AgaveBam
FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS,"",1881605316350045,AgaveBam
7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,"",1875000953466200,Agave
DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,"Firedancer Development",1858328264529888,Firedancer
3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,"",1837000183558720,AgaveBam
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,"",1835664800728540,AgaveBam
EXckihF3qmguH5znjhfzLvHsbk2E3nEW2DqNh4MMnDMm,"",1783309756278522,Harmonic
ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,"Anagram Staking",1771814939036453,Rakurai
7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,"Haus – Guaranteed Best APY & No Fees",1632342129021925,AgaveBam
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA,"Overclock",1632231338720422,AgaveBam
CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,"Bybit Staking",1551817781563813,JitoLabs
6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,"Coinbase 05",1503751676378772,AgaveBam
GYx8kpp7SsRwtQEEsGQjAxb4hFMMmT91kFJuDeky3YGQ,"",1470145740760999,AgaveBam
FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,"",1468142636020282,AgaveBam
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,"melea 🚀 SOL 🤑2K",1462097004503644,AgaveBam
AMukCLCr52XxsEjXoDxKKxjNg4FpnsReXNaQx8aR6DJF,"",1429704322626291,Harmonic
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,"Solflare",1403926807312317,AgaveBam
pSoLoZx55zZz61gjxSTwHtwTg4yTwdm7ruBmyjbYgT2,"",1395266703175878,Harmonic
Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,"Shinobi Systems 🚀 stakeview.app",1388085300077247,JitoLabs
DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8,"Temporal Emerald",1346557393266004,HarmonicAgave
A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC,"",1336957849078403,Rakurai
CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW,"Blockman",1336627542232782,JitoLabs
privaEdSEmnMPGPoQACUkcDGkFBbTArVvsEGd7C5wUM,"",1324631001000000,Harmonic
G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,"",1324631001000000,AgaveBam
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,"Solana Compass 🧭 Solana For The People",1319615695508123,AgaveBam
14GtGcdikcK33tFBhedZ4rYTHcTpWveCxLXvR3Ydx9zS,"",1301086636146033,AgaveBam
ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,"Chorus One",1295933319421942,JitoLabs
HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9,"PoH PoS",1284859453788516,AgaveBam
EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,"StakeBowl",1250007973669359,JitoLabs
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,"Pumpkin's Pool ❤️",1213859358521091,AgaveBam
5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,"",1207979324911175,Agave
3psxMyr7rQzywVp1MXKd1XFmFz33NjydzCoJx9t2sMQW,"OtterSec",1099416135681053,HarmonicAgave
4SsMncJdtKiUcDtukkX15mqei7WiuQ9yvRtQrQW4reWC,"Quicknode",1053806096948464,AgaveBam
G2TBEh2ahNGS9tGnuBNyDduNjyfUtGhMcssgRb8b6KfH,"AG 0% fee + ALL MEV profit share",1044951106826129,JitoLabs
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,"",1031269780910642,Harmonic
G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM,"AP Node",1029080485405513,AgaveBam
8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,"",1002874815361835,Rakurai
GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5,"Rocket",1001183308968815,JitoLabs
6ptuwW4rg5A3wP9hNKxeymG3QhSagugPd3grnMTGJwWG,"",1000001995434242,Firedancer
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,"Alpha",998676757660048,JitoLabs
58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,"Flash",990196783807566,JitoLabs
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,"Hamsa",976468921951524,JitoLabs
AiDoLWFKzNxSXKeZ4zym2TEPkg6F4kQ3YBA8WhANVPEq,"AiDoL",914123020662494,AgaveBam
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,"Quatro",912041900387828,JitoLabs
DZv25oNCWFvGXu9tH63BiAXvG94syweGZhbvdN3HxDxT,"DoubleZero x Temporal",904930203982303,Harmonic
VQwCCSfW3o5NDx7n5FBr9SoYiLXVgetstHvaWBvv2YH,"",894439086303008,Frankendancer Rev
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,"Solmate - RockawayX powered",893563426133864,Frankendancer
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,"Allnodes ⚡️ 0% fee",890144411193643,JitoLabs
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,"Cavey Cool",878012755364584,Harmonic
Ha1iade1AH3B12K9SccfWoPdFtQKKQsj2ZyWwxcjqJJU,"Ha1iad3",849252468402210,Rakurai
BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,"",827174845892740,JitoLabs
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,"",814420982205396,JitoLabs
AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,"",810902261083540,AgaveBam
XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,"Coinbase",789235864359388,HarmonicAgave
H8fHToVcZPi5bupGZohGPX2SWs8NHzgFKQ31wi5n6oux,"",779371602541646,Frankendancer Rev
4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL,"",774797027495915,Harmonic
7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,"Alpha Pro | High APY🚀 100% Reliable ⭐ VIP Services",760609990747106,Frankendancer Rev
HzrEstnLfzsijhaD6z5frkSE2vWZEH5EUfn3bU9swo1f,"StakeWolf",748773706711162,AgaveBam
BGAjnivVWqLqByqCVT9dSyPUFicvyJrz7vRvrvui3SEk,"",728800942400181,AgaveBam
DB7DNWMVQASMFxcjkwdr4w4eg3NmfjWTk2rqFMMbrPLA,"Orangefin by SOL Strategies",722187346164061,AgaveBam
6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8,"Solana Validator",717427390556371,JitoLabs
6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,"Solana Mobile Validator",702366436074917,AgaveBam
HM1KjNaXa4w8K4gCXbieoMh5gUTNeUhg9fvdXMKeBW3L,"Hello Moon",700953212059325,JitoLabs
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,"Trust Nodes",689405607996461,AgaveBam
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,"",663008366025851,HarmonicAgave
RNXnAJV1DeBt6Lytjz4wYzvS3d6bhsfidS5Np4ovwZz,"RockawayX Firedancer",650481103569640,Frankendancer
RBFiUqjYuy4mupzZaU96ctXJBy23sRBRsL3KivDAsFM,"RockawayX Infra",648158205235793,AgaveBam
6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,"Watchtower",634913138180297,Frankendancer
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,"ProStaking",633952222121745,AgaveBam
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,"validator.com",630007053477940,AgaveBam
FhFB8MAj5Kzxo2aUKnnAXGWxQRhfe1Nfrf5gTReQ1evD,"",625001997717122,Firedancer
ACvL73V4GNnxPVfZ7K89jCrYurLyzpEuE9qirjvh2Xmi,"Kiln2",619060089625935,AgaveBam
oPaLtitM6cwpFVzP2rDhLsJLdY2vcbuZiJJyD1TFUKs,"Temporal Opal",618657639288956,HarmonicAgave
